sample_id,crop_type,state,season,soil_type,temperature_celsius,humidity_percent,rainfall_mm,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,wind_speed_kmh,sunlight_hours,leaf_wetness_hours,field_area_hectares,days_after_sowing,irrigation_type,prev_disease_history,disease_label,severity_score,severity_label,treatment_cost_inr,yield_loss_percent
FDP-00012,Maize,Punjab,Zaid,Sandy,24.3,60.4,102.91,6.81,79.5,47.2,69.8,8.6,4.3,11.4,12.82,111,Drip,0,Healthy,0.015,None,0,0.0
FDP-00013,Soybean,Gujarat,Zaid,Sandy Loam,24.7,53.8,99.42,6.46,87.6,65.0,75.3,10.5,9.1,11.8,13.63,63,Furrow,1,Healthy,0.025,None,0,0.0
FDP-00014,Wheat,Punjab,Zaid,Black Cotton,18.5,83.4,231.12,5.53,34.6,22.2,35.3,16.8,5.4,12.7,9.98,102,Sprinkler,1,Root Rot,0.378,Mild,1390,7.4
FDP-00015,Potato,Haryana,Zaid,Red Laterite,23.7,51.2,113.56,6.44,81.5,68.7,59.3,4.1,11.2,16.3,16.01,79,Sprinkler,0,Healthy,0.084,None,0,0.0
FDP-00016,Tomato,Telangana,Kharif,Loam,20.3,82.3,205.98,5.67,39.2,31.3,36.7,16.8,4.7,3.7,22.51,35,Furrow,0,Root Rot,0.527,Moderate,2159,22.8
FDP-00017,Potato,Maharashtra,Kharif,Sandy Loam,30.5,79.5,221.64,6.37,42.1,41.3,41.8,9.5,10.0,12.0,21.31,87,Drip,0,Leaf Blight,0.812,Severe,10267,79.2
FDP-00018,Maize,Bihar,Kharif,Black Cotton,21.3,90.9,313.23,5.42,33.1,25.6,30.9,24.4,7.1,16.2,15.96,85,Sprinkler,0,Root Rot,0.669,Moderate,6969,30.6
FDP-00019,Barley,Maharashtra,Zaid,Black Cotton,25.0,58.6,95.59,7.43,84.2,54.3,62.9,23.6,11.6,16.6,9.57,106,Rainfed,1,Healthy,0.1,None,0,0.0
FDP-00020,Sugarcane,Punjab,Zaid,Sandy,20.8,77.4,118.54,6.04,43.7,39.9,57.5,5.9,8.5,16.9,17.55,46,Drip,0,Rust Disease,0.537,Moderate,6819,33.8
FDP-00021,Wheat,Karnataka,Kharif,Black Cotton,18.5,75.8,121.16,5.96,54.6,45.8,58.8,10.3,6.3,14.8,20.35,22,Drip,0,Rust Disease,0.934,Severe,18827,47.5
FDP-00022,Sugarcane,Haryana,Kharif,Silty Clay,26.8,54.6,164.21,6.89,87.6,66.4,74.3,22.5,6.7,7.4,2.8,107,Flood,1,Healthy,0.078,None,0,0.0
FDP-00023,Tomato,Karnataka,Kharif,Sandy Loam,15.0,90.3,277.16,5.88,51.5,26.9,42.6,4.9,8.2,14.1,5.79,70,Rainfed,1,Downy Mildew,0.588,Moderate,7972,21.4
FDP-00024,Rice,Tamil Nadu,Kharif,Sandy,21.8,71.3,124.33,6.26,48.7,55.0,56.2,18.7,11.8,9.8,8.41,58,Flood,0,Rust Disease,0.434,Mild,1598,11.7
FDP-00025,Potato,Odisha,Rabi,Clay,21.9,64.3,42.07,6.96,63.4,52.6,50.5,5.6,6.0,10.3,18.01,24,Furrow,1,Powdery Mildew,0.369,Mild,1835,20.0
FDP-00026,Rice,Gujarat,Kharif,Clay,26.4,58.7,111.83,7.28,61.9,33.6,49.7,10.2,10.1,1.2,3.34,77,Flood,1,Mosaic Virus,0.905,Severe,9921,50.8
FDP-00027,Soybean,Telangana,Rabi,Red Laterite,25.7,55.7,84.55,6.74,58.4,53.2,68.3,11.2,8.9,11.8,1.61,73,Rainfed,1,Healthy,0.07,None,0,0.0
FDP-00028,Barley,Bihar,Zaid,Black Cotton,28.8,83.5,111.28,6.73,45.1,31.8,45.2,3.6,9.1,1.5,14.85,34,Sprinkler,0,Bacterial Wilt,0.452,Mild,619,13.7
FDP-00029,Cotton,Andhra Pradesh,Kharif,Sandy Loam,20.2,90.3,302.87,5.09,49.9,20.2,34.2,24.1,11.2,4.3,2.2,76,Drip,0,Root Rot,0.973,Severe,10625,74.8
FDP-00030,Rice,Maharashtra,Zaid,Red Laterite,26.0,53.7,89.62,6.7,76.7,56.1,75.7,4.7,9.6,11.7,22.0,66,Furrow,0,Healthy,0.025,None,0,0.0
FDP-00031,Sorghum,Karnataka,Kharif,Sandy,21.4,78.1,103.42,6.11,56.9,46.1,52.4,10.6,10.2,6.8,23.3,89,Sprinkler,1,Rust Disease,0.443,Mild,1966,9.7
FDP-00032,Maize,Madhya Pradesh,Zaid,Black Cotton,30.2,81.6,202.47,6.46,55.4,45.1,47.6,9.4,11.2,7.6,0.77,73,Drip,1,Leaf Blight,0.307,Mild,1772,20.0
FDP-00033,Rice,West Bengal,Zaid,Clay,29.5,69.3,121.94,5.7,37.7,44.7,35.0,17.5,10.0,14.5,19.85,48,Sprinkler,0,Fusarium Wilt,0.917,Severe,16004,57.9
FDP-00034,Barley,Andhra Pradesh,Zaid,Loam,23.0,52.4,85.05,6.77,75.5,66.5,69.0,10.1,4.9,3.4,19.16,118,Furrow,0,Healthy,0.03,None,0,0.0
FDP-00035,Maize,Jharkhand,Rabi,Sandy Loam,18.6,76.2,124.9,6.12,49.8,43.9,44.1,20.7,11.6,17.8,18.96,28,Sprinkler,0,Rust Disease,0.497,Mild,931,15.8
FDP-00036,Potato,Madhya Pradesh,Zaid,Sandy,22.7,49.5,96.44,6.83,89.8,65.7,68.9,4.6,7.9,1.2,11.98,21,Rainfed,0,Healthy,0.083,None,0,0.0
FDP-00037,Cotton,Madhya Pradesh,Kharif,Black Cotton,25.5,49.1,108.66,7.13,79.3,62.7,74.6,7.1,11.7,1.2,24.26,35,Furrow,1,Healthy,0.071,None,0,0.0
FDP-00038,Rice,Jharkhand,Kharif,Black Cotton,19.3,88.4,250.42,5.53,33.0,30.1,37.5,16.5,9.6,8.7,15.88,34,Sprinkler,0,Root Rot,0.708,Moderate,3213,30.7
FDP-00039,Cotton,Maharashtra,Kharif,Loam,26.5,53.3,136.5,6.55,74.4,56.0,55.8,15.4,4.6,17.6,24.66,102,Drip,0,Healthy,0.035,None,0,0.0
FDP-00040,Soybean,Haryana,Zaid,Black Cotton,19.1,88.9,312.54,5.82,34.1,25.5,37.5,23.0,10.6,17.1,18.28,45,Flood,0,Root Rot,0.917,Severe,8812,51.3
FDP-00041,Soybean,Tamil Nadu,Zaid,Red Laterite,22.8,95.1,231.45,5.84,37.5,45.4,46.8,11.5,6.2,2.0,21.69,118,Sprinkler,0,Anthracnose,0.411,Mild,1936,6.6
FDP-00042,Sugarcane,Odisha,Kharif,Clay,29.1,65.0,95.86,6.64,59.2,36.3,51.7,23.9,8.8,4.9,16.96,73,Sprinkler,1,Mosaic Virus,0.874,Severe,15457,52.8
FDP-00043,Soybean,Odisha,Rabi,Loam,17.4,81.4,126.65,6.06,61.5,43.2,59.4,14.7,8.5,15.9,10.39,23,Sprinkler,1,Rust Disease,0.749,Moderate,5274,37.0
FDP-00044,Cotton,Jharkhand,Kharif,Sandy Loam,27.1,68.2,120.09,6.51,59.6,48.7,42.2,11.0,7.5,16.4,9.03,48,Furrow,0,Mosaic Virus,0.974,Severe,16698,46.3
FDP-00045,Cotton,Rajasthan,Zaid,Red Laterite,22.5,75.4,152.57,5.9,42.6,42.2,54.7,13.3,6.6,11.8,6.38,70,Rainfed,0,Rust Disease,0.93,Severe,14228,53.9
FDP-00046,Wheat,West Bengal,Zaid,Red Laterite,31.4,79.0,121.2,6.04,37.9,37.1,48.1,17.4,5.4,4.3,1.5,102,Sprinkler,0,Bacterial Wilt,0.602,Moderate,7441,43.0
FDP-00047,Rice,West Bengal,Zaid,Loam,19.1,71.0,117.86,5.99,49.3,35.5,64.0,2.9,10.4,11.7,2.5,54,Sprinkler,1,Rust Disease,0.582,Moderate,4422,33.9
FDP-00048,Soybean,Jharkhand,Zaid,Black Cotton,25.1,52.0,96.32,6.9,85.1,56.5,66.2,10.5,7.9,11.5,9.54,37,Rainfed,1,Healthy,0.055,None,0,0.0
FDP-00049,Potato,Telangana,Kharif,Sandy,27.7,51.5,109.61,6.83,100.5,67.5,69.1,14.3,5.9,5.6,9.74,89,Rainfed,1,Healthy,0.044,None,0,0.0
FDP-00050,Barley,Jharkhand,Rabi,Red Laterite,29.4,74.8,118.37,6.95,50.9,37.5,51.1,4.0,8.3,11.0,18.76,116,Drip,0,Bacterial Wilt,0.499,Mild,1859,14.5
FDP-00051,Tomato,Maharashtra,Zaid,Loam,28.3,81.7,153.11,5.9,56.2,48.6,39.3,4.3,5.2,5.2,4.44,118,Flood,0,Leaf Blight,0.317,Mild,1001,19.8
FDP-00052,Rice,Jharkhand,Rabi,Sandy,20.9,72.0,102.72,6.26,47.7,44.1,52.2,4.6,7.2,17.5,21.7,95,Rainfed,0,Rust Disease,0.646,Moderate,3998,23.7
FDP-00053,Rice,Haryana,Rabi,Clay,30.3,80.6,150.02,5.84,45.7,41.9,32.8,19.7,5.5,6.5,10.92,117,Drip,1,Bacterial Wilt,0.69,Moderate,2994,31.4
FDP-00054,Barley,Rajasthan,Zaid,Silty Clay,17.1,84.6,201.6,6.59,42.2,38.2,36.7,5.6,7.8,10.1,1.77,111,Furrow,1,Downy Mildew,0.871,Severe,24540,59.9
FDP-00055,Sugarcane,Odisha,Kharif,Black Cotton,23.6,85.9,226.83,5.81,52.4,30.9,50.6,12.8,7.3,6.9,23.27,75,Sprinkler,1,Anthracnose,0.826,Severe,17086,71.8
FDP-00056,Tomato,Punjab,Rabi,Sandy,22.4,89.0,229.87,5.53,36.6,35.8,36.3,5.2,10.4,4.4,4.51,106,Flood,1,Root Rot,0.49,Mild,1154,18.4
FDP-00057,Maize,Tamil Nadu,Kharif,Sandy,25.7,50.7,104.83,7.27,85.8,57.8,78.0,12.1,7.0,8.9,7.88,34,Drip,0,Healthy,0.041,None,0,0.0
FDP-00058,Sugarcane,Maharashtra,Rabi,Sandy Loam,29.3,82.6,216.91,6.33,48.5,42.3,34.6,22.8,9.0,3.0,23.53,68,Furrow,1,Leaf Blight,0.962,Severe,8640,75.0
FDP-00059,Soybean,Rajasthan,Rabi,Sandy Loam,13.0,93.8,211.28,6.36,51.2,46.4,45.9,5.5,6.5,5.2,18.73,53,Rainfed,1,Downy Mildew,0.677,Moderate,6473,40.0
FDP-00060,Sugarcane,Gujarat,Kharif,Loam,27.4,65.4,86.24,6.87,57.2,48.6,49.5,4.5,10.8,3.2,10.23,77,Rainfed,0,Mosaic Virus,0.535,Moderate,7563,40.0
FDP-00061,Sugarcane,West Bengal,Kharif,Silty Clay,30.5,79.1,155.14,5.87,50.8,45.4,44.9,7.8,6.8,4.1,22.76,18,Furrow,1,Bacterial Wilt,0.695,Moderate,2222,22.1
FDP-00062,Sugarcane,Madhya Pradesh,Kharif,Sandy Loam,26.1,51.1,64.96,7.22,59.6,49.1,50.9,13.6,8.9,1.3,21.87,63,Flood,1,Powdery Mildew,0.618,Moderate,4764,39.0
FDP-00063,Soybean,Punjab,Rabi,Red Laterite,23.2,63.6,54.81,7.07,54.7,50.3,68.5,11.8,9.9,16.9,23.18,75,Furrow,0,Powdery Mildew,0.336,Mild,1216,8.4
FDP-00064,Wheat,Maharashtra,Kharif,Clay,27.2,48.4,97.9,6.76,87.3,48.7,80.2,3.3,6.7,14.6,0.61,17,Flood,0,Healthy,0.013,None,0,0.0
FDP-00065,Sorghum,Tamil Nadu,Kharif,Sandy,18.3,66.7,136.46,6.27,45.0,34.9,50.5,7.2,7.6,3.4,4.82,47,Flood,1,Rust Disease,0.724,Moderate,7884,22.9
FDP-00066,Potato,Uttar Pradesh,Kharif,Silty Clay,19.3,81.0,198.19,6.42,51.6,44.2,50.6,2.3,9.3,4.0,24.05,54,Rainfed,1,Downy Mildew,0.959,Severe,14498,47.7
FDP-00067,Tomato,Telangana,Kharif,Black Cotton,30.9,72.9,191.47,6.27,45.1,37.4,43.7,6.7,5.5,1.6,12.07,53,Furrow,0,Bacterial Wilt,0.848,Severe,19377,63.6
FDP-00068,Rice,Rajasthan,Zaid,Black Cotton,19.8,71.4,122.13,6.19,61.3,27.0,58.9,11.2,8.5,3.6,4.96,16,Rainfed,1,Rust Disease,0.374,Mild,1241,14.5
FDP-00069,Maize,Tamil Nadu,Rabi,Clay,13.2,87.4,162.98,7.08,53.0,41.4,48.6,2.5,4.8,14.6,4.87,81,Furrow,1,Downy Mildew,0.866,Severe,23843,61.3
FDP-00070,Sorghum,Odisha,Rabi,Loam,13.7,85.9,223.77,6.42,45.3,38.6,47.2,21.1,7.2,12.4,5.52,46,Sprinkler,0,Downy Mildew,0.917,Severe,15990,71.3
FDP-00071,Soybean,Bihar,Rabi,Sandy Loam,21.0,86.2,260.87,5.08,42.9,29.1,32.4,8.0,7.0,11.0,7.07,56,Rainfed,0,Root Rot,0.448,Mild,1029,10.1
FDP-00072,Potato,West Bengal,Zaid,Sandy Loam,28.7,58.6,127.17,6.23,66.3,43.7,51.9,19.6,5.1,15.8,12.44,39,Flood,0,Mosaic Virus,0.804,Severe,24009,64.4
FDP-00073,Sugarcane,Bihar,Zaid,Black Cotton,25.2,53.1,93.94,6.74,82.1,48.6,61.0,5.2,10.7,17.7,13.38,72,Drip,0,Healthy,0.029,None,0,0.0
FDP-00074,Tomato,Andhra Pradesh,Rabi,Black Cotton,24.2,57.3,42.22,7.07,53.5,49.9,47.6,17.0,10.6,4.5,0.77,62,Furrow,1,Powdery Mildew,0.672,Moderate,5485,44.9
FDP-00075,Cotton,Madhya Pradesh,Zaid,Sandy,20.4,91.6,305.52,5.84,26.8,23.6,31.9,5.8,9.9,2.4,15.28,54,Flood,1,Root Rot,0.384,Mild,894,9.7
FDP-00076,Maize,Tamil Nadu,Kharif,Clay,31.6,75.0,111.87,5.87,36.0,31.8,48.6,15.0,7.8,12.3,23.45,76,Furrow,1,Bacterial Wilt,0.984,Severe,17273,79.3
FDP-00077,Potato,Haryana,Kharif,Loam,25.6,68.5,84.45,6.78,72.1,41.9,59.2,4.5,4.6,13.4,12.64,53,Furrow,0,Mosaic Virus,0.389,Mild,593,19.6
FDP-00078,Maize,Telangana,Zaid,Red Laterite,18.8,84.9,310.41,5.74,34.2,33.2,39.9,8.3,8.7,7.1,2.74,77,Drip,0,Root Rot,0.702,Moderate,5845,32.0
FDP-00079,Wheat,Bihar,Rabi,Red Laterite,29.9,85.1,179.44,5.92,52.5,41.1,50.8,17.9,10.8,5.2,12.49,29,Rainfed,0,Leaf Blight,0.644,Moderate,6726,35.7
FDP-00080,Maize,Punjab,Zaid,Loam,26.8,54.3,103.46,6.82,71.5,52.8,77.0,23.3,11.8,17.1,12.12,46,Furrow,0,Healthy,0.076,None,0,0.0
FDP-00081,Sorghum,West Bengal,Kharif,Red Laterite,20.0,75.1,138.77,6.12,53.1,39.8,50.0,3.8,9.6,6.8,18.26,63,Rainfed,1,Rust Disease,0.508,Moderate,6821,44.8
FDP-00082,Sorghum,Tamil Nadu,Kharif,Silty Clay,29.5,81.7,164.01,6.61,51.3,43.5,38.8,22.4,8.9,5.0,1.1,27,Flood,0,Leaf Blight,0.485,Mild,666,7.4
FDP-00083,Rice,Gujarat,Kharif,Sandy Loam,25.1,56.9,91.38,7.1,95.3,57.6,67.0,11.7,9.9,5.1,3.21,72,Sprinkler,1,Healthy,0.003,None,0,0.0
FDP-00084,Potato,Bihar,Zaid,Red Laterite,32.4,76.9,152.03,6.0,44.9,37.3,48.9,10.8,9.4,4.7,23.77,24,Sprinkler,0,Leaf Blight,0.851,Severe,14482,59.9
FDP-00085,Maize,Haryana,Rabi,Red Laterite,21.6,86.6,248.35,5.72,31.0,31.9,35.8,16.0,8.1,4.9,4.82,24,Flood,0,Root Rot,0.855,Severe,17457,60.4
FDP-00086,Potato,Madhya Pradesh,Zaid,Sandy,23.8,56.9,44.45,6.79,67.9,55.8,54.2,18.0,5.2,14.9,6.0,79,Rainfed,1,Powdery Mildew,0.356,Mild,581,18.3
FDP-00087,Sorghum,Punjab,Rabi,Sandy Loam,31.9,71.2,170.95,7.0,40.9,35.2,44.2,17.1,8.4,2.5,10.51,44,Sprinkler,0,Bacterial Wilt,0.703,Moderate,3435,31.8
FDP-00088,Potato,Gujarat,Kharif,Silty Clay,20.6,68.1,105.38,6.24,63.0,39.5,53.8,21.6,8.0,9.2,15.01,96,Drip,1,Rust Disease,0.629,Moderate,5345,28.3
FDP-00089,Maize,Tamil Nadu,Rabi,Sandy,30.4,81.9,153.64,7.02,48.9,35.4,45.9,21.6,10.9,13.0,21.01,78,Rainfed,1,Bacterial Wilt,0.869,Severe,9202,60.9
FDP-00090,Cotton,Gujarat,Kharif,Red Laterite,31.8,86.9,204.23,6.6,54.3,36.5,48.4,9.7,9.9,3.7,20.54,80,Furrow,0,Leaf Blight,0.623,Moderate,2444,24.7
FDP-00091,Sugarcane,Telangana,Zaid,Sandy,30.0,87.8,179.78,6.26,40.9,41.9,51.3,19.9,4.9,13.9,13.76,21,Sprinkler,0,Leaf Blight,0.684,Moderate,4359,31.0
FDP-00092,Rice,Andhra Pradesh,Kharif,Black Cotton,36.2,77.1,145.58,6.5,46.2,34.9,43.6,8.9,9.7,2.1,14.76,117,Flood,0,Bacterial Wilt,0.518,Moderate,2112,33.8
FDP-00093,Rice,Karnataka,Rabi,Sandy Loam,27.0,46.2,90.68,6.84,90.4,59.6,66.3,8.3,12.0,8.2,11.56,34,Sprinkler,1,Healthy,0.051,None,0,0.0
FDP-00094,Sugarcane,Bihar,Rabi,Clay,33.1,84.3,162.45,5.99,54.7,38.9,44.2,17.1,6.2,17.2,4.2,85,Rainfed,0,Leaf Blight,0.433,Mild,1727,12.6
FDP-00095,Rice,Telangana,Rabi,Red Laterite,28.1,64.5,128.86,6.48,44.8,38.5,52.2,22.6,5.8,4.6,1.26,68,Furrow,1,Mosaic Virus,0.487,Mild,505,9.2
FDP-00096,Sorghum,Bihar,Zaid,Black Cotton,30.4,77.3,211.09,6.23,57.4,39.5,50.2,19.7,10.8,13.9,15.84,34,Furrow,1,Leaf Blight,0.639,Moderate,4723,33.8
FDP-00097,Sugarcane,Maharashtra,Rabi,Red Laterite,20.3,90.5,247.01,5.98,33.6,39.0,34.8,3.5,8.7,5.6,20.04,104,Furrow,0,Root Rot,0.568,Moderate,5365,21.1
FDP-00098,Soybean,Telangana,Rabi,Black Cotton,28.4,75.6,102.21,6.06,28.8,28.3,46.9,18.0,10.9,14.3,1.47,120,Rainfed,0,Bacterial Wilt,0.975,Severe,12136,62.6
FDP-00099,Rice,West Bengal,Rabi,Sandy Loam,18.4,74.8,119.93,5.96,61.3,47.6,51.2,9.5,8.1,2.5,9.09,73,Flood,0,Rust Disease,0.587,Moderate,7363,44.2
FDP-00100,Potato,Tamil Nadu,Rabi,Silty Clay,25.0,48.3,95.31,7.2,84.3,56.2,73.8,5.9,4.8,11.8,17.81,65,Sprinkler,0,Healthy,0.085,None,0,0.0
FDP-00101,Soybean,Tamil Nadu,Rabi,Black Cotton,27.1,61.8,107.8,6.85,61.0,46.2,58.6,3.8,11.2,10.3,20.52,112,Furrow,1,Mosaic Virus,0.325,Mild,640,8.5
FDP-00102,Potato,Punjab,Kharif,Black Cotton,30.3,86.1,126.22,6.97,46.3,33.7,39.7,22.1,5.8,17.6,8.75,70,Drip,0,Bacterial Wilt,0.611,Moderate,7685,27.5
FDP-00103,Cotton,Rajasthan,Kharif,Loam,25.9,50.1,99.59,7.29,91.5,62.9,70.3,6.6,9.4,2.2,1.25,62,Flood,1,Healthy,0.024,None,0,0.0
FDP-00104,Maize,Punjab,Kharif,Clay,23.2,58.7,33.31,7.13,64.3,44.7,66.7,10.0,7.0,17.8,1.48,93,Furrow,1,Powdery Mildew,0.778,Severe,24307,76.9
FDP-00105,Sugarcane,Bihar,Zaid,Loam,25.4,56.9,128.07,6.64,87.2,59.7,68.8,8.4,8.7,16.5,5.66,47,Rainfed,0,Healthy,0.09,None,0,0.0
FDP-00106,Maize,Rajasthan,Kharif,Sandy,33.4,83.7,167.6,5.99,47.6,40.4,44.0,6.1,5.9,17.5,4.93,90,Rainfed,1,Bacterial Wilt,0.783,Severe,22969,74.6
FDP-00107,Soybean,Maharashtra,Rabi,Sandy Loam,25.0,57.4,109.06,6.66,85.1,41.0,77.7,5.8,7.1,17.5,6.82,63,Furrow,1,Healthy,0.03,None,0,0.0
FDP-00108,Wheat,Madhya Pradesh,Zaid,Sandy,27.7,72.1,163.22,6.06,47.3,37.2,45.3,7.4,4.6,3.9,13.23,16,Furrow,0,Bacterial Wilt,0.822,Severe,17378,72.2
FDP-00109,Cotton,Maharashtra,Kharif,Black Cotton,26.7,50.4,74.06,6.64,90.0,65.7,67.7,2.8,9.9,12.3,12.13,94,Flood,1,Healthy,0.063,None,0,0.0
FDP-00110,Wheat,Bihar,Rabi,Red Laterite,24.4,89.1,211.47,6.34,48.9,36.0,46.4,8.2,4.5,10.0,23.45,19,Flood,1,Anthracnose,0.363,Mild,1104,9.9
FDP-00111,Tomato,West Bengal,Kharif,Red Laterite,24.2,59.6,50.79,6.33,66.1,49.5,63.3,13.2,9.3,3.4,1.23,61,Flood,1,Powdery Mildew,0.48,Mild,1486,19.5
FDP-00112,Cotton,Punjab,Kharif,Sandy,25.2,87.1,149.0,6.4,43.0,33.9,58.7,22.0,5.4,12.8,21.03,33,Rainfed,0,Leaf Blight,0.977,Severe,19985,48.2
FDP-00113,Potato,Bihar,Zaid,Sandy Loam,23.3,61.8,74.03,6.98,61.3,53.6,63.9,7.0,9.3,7.7,16.46,62,Furrow,1,Powdery Mildew,0.567,Moderate,7230,43.5
FDP-00114,Tomato,Andhra Pradesh,Rabi,Sandy Loam,27.0,53.8,87.43,6.73,82.2,62.1,72.8,15.0,9.9,15.9,10.4,86,Furrow,1,Healthy,0.022,None,0,0.0
FDP-00115,Sugarcane,Karnataka,Zaid,Loam,27.0,47.4,109.96,6.93,78.0,69.2,69.0,14.5,4.0,6.5,9.48,67,Flood,0,Healthy,0.005,None,0,0.0
FDP-00116,Sugarcane,Maharashtra,Kharif,Sandy Loam,25.2,59.1,85.88,6.5,65.6,55.7,61.2,7.2,4.6,11.3,16.87,83,Rainfed,0,Healthy,0.045,None,0,0.0
FDP-00117,Barley,Tamil Nadu,Rabi,Silty Clay,30.0,86.9,159.64,6.11,28.3,50.9,34.4,15.3,8.3,11.3,19.24,108,Rainfed,0,Bacterial Wilt,0.758,Severe,24034,66.5
FDP-00118,Potato,Rajasthan,Kharif,Black Cotton,22.3,90.0,222.76,6.25,49.1,38.1,47.1,3.4,11.5,7.0,2.98,42,Rainfed,1,Anthracnose,0.965,Severe,19884,48.5
FDP-00119,Barley,Uttar Pradesh,Zaid,Loam,27.8,77.1,120.23,5.79,46.2,45.6,47.9,18.5,6.2,8.0,3.49,65,Flood,1,Bacterial Wilt,0.978,Severe,22900,48.2
FDP-00120,Sorghum,Telangana,Kharif,Sandy Loam,22.4,54.8,83.86,6.78,71.1,56.0,72.1,15.0,6.1,17.4,12.35,57,Flood,0,Healthy,0.079,None,0,0.0
FDP-00121,Barley,Maharashtra,Kharif,Silty Clay,25.4,58.2,102.09,6.64,80.8,63.6,70.3,7.2,5.7,11.4,10.57,119,Sprinkler,0,Healthy,0.077,None,0,0.0
FDP-00122,Sorghum,Odisha,Kharif,Loam,16.1,85.9,176.9,6.26,52.7,33.5,51.2,17.4,4.8,11.6,11.57,33,Furrow,0,Downy Mildew,0.475,Mild,857,6.6
FDP-00123,Maize,Telangana,Kharif,Loam,25.0,66.5,106.62,6.85,53.8,41.7,52.8,16.0,8.4,4.9,10.08,115,Furrow,0,Mosaic Virus,0.527,Moderate,3427,26.6
FDP-00124,Soybean,Tamil Nadu,Zaid,Sandy Loam,24.8,52.1,143.0,6.55,90.9,71.2,66.3,17.9,11.9,3.2,3.05,23,Rainfed,1,Healthy,0.078,None,0,0.0
FDP-00125,Rice,Maharashtra,Rabi,Silty Clay,20.9,94.3,237.36,5.43,34.1,24.9,31.8,3.6,8.2,2.1,20.11,93,Furrow,0,Root Rot,0.511,Moderate,7270,44.1
FDP-00126,Sugarcane,Karnataka,Rabi,Sandy,23.0,53.5,74.07,6.83,85.6,46.7,72.5,9.7,9.4,17.9,16.72,28,Rainfed,1,Healthy,0.007,None,0,0.0
FDP-00127,Sorghum,Haryana,Kharif,Sandy Loam,27.8,54.2,88.25,6.74,83.7,60.5,73.6,6.6,8.3,2.6,11.53,50,Rainfed,1,Healthy,0.099,None,0,0.0
FDP-00128,Sugarcane,Gujarat,Zaid,Silty Clay,18.5,84.4,291.2,5.86,41.1,24.5,33.4,24.8,11.4,10.2,21.13,27,Furrow,0,Root Rot,0.805,Severe,15045,60.1
FDP-00129,Soybean,Bihar,Rabi,Red Laterite,30.9,67.0,98.52,6.67,55.9,41.6,56.6,2.8,6.4,5.5,9.32,66,Drip,1,Mosaic Virus,0.519,Moderate,4560,36.6
FDP-00130,Maize,Punjab,Zaid,Sandy,24.6,50.8,55.08,6.63,45.6,49.8,72.0,23.1,8.0,17.9,21.36,26,Drip,0,Powdery Mildew,0.602,Moderate,5052,40.3
